product_id,product_name,category,brand,price
101,Smartwatch,Gadgets,Dell,50236.92
102,Speaker,Gadgets,HP,25991.38
103,Laptop,Accessories,Asus,18383.68
104,Smartphone,Electronics,HP,72221.53
105,Speaker,Accessories,Apple,65472.97
106,Speaker,Accessories,Lenovo,28415.52
107,Laptop,Accessories,Apple,37852.19
108,Smartwatch,Accessories,Sony,38515.78
109,Smartphone,Gadgets,Sony,15404.79
110,Smartwatch,Accessories,Dell,71298.74
111,Laptop,Electronics,Lenovo,38289.87
112,Headphones,Gadgets,Sony,62919.08
113,Tablet,Electronics,Sony,61647.96
114,Tablet,Electronics,Sony,30510.6
115,Laptop,Accessories,Sony,25435.41
116,Tablet,Accessories,Dell,41961.1
117,Smartphone,Electronics,Apple,19005.7
118,Laptop,Gadgets,Asus,58461.69
119,Laptop,Accessories,Apple,55604.7
120,Smartwatch,Gadgets,Lenovo,65268.93
121,Smartphone,Accessories,HP,60328.76
122,Laptop,Accessories,Samsung,72147.08
123,Smartphone,Gadgets,Sony,58616.09
124,Tablet,Gadgets,Dell,33632.15
125,Laptop,Electronics,HP,79594.83
126,Smartwatch,Gadgets,Sony,21850.81
127,Tablet,Gadgets,Asus,55386.03
128,Smartwatch,Accessories,Dell,57941.34
129,Camera,Gadgets,Samsung,44496.58
130,Smartphone,Electronics,Samsung,36145.19
131,Tablet,Electronics,Apple,12579.0
132,Tablet,Accessories,Lenovo,1204.76
133,Smartphone,Accessories,Sony,55489.01
134,Headphones,Gadgets,Lenovo,79551.56
135,Smartphone,Accessories,Apple,9994.55
136,Headphones,Electronics,Apple,66771.78
137,Smartwatch,Gadgets,Apple,63397.72
138,Speaker,Electronics,Sony,51530.32
139,Smartphone,Gadgets,HP,11342.64
140,Tablet,Electronics,Sony,43638.11
141,Speaker,Accessories,Asus,4377.7
142,Smartphone,Gadgets,HP,73098.97
143,Headphones,Gadgets,Apple,32629.72
144,Smartphone,Electronics,HP,53322.42
145,Tablet,Electronics,Asus,9130.09
146,Smartwatch,Electronics,Dell,43427.84
147,Smartwatch,Accessories,Asus,5517.16
148,Smartphone,Electronics,Sony,48100.1
149,Tablet,Gadgets,HP,75341.73
150,Speaker,Accessories,Sony,11956.4
151,Tablet,Gadgets,Lenovo,12434.95
152,Headphones,Gadgets,Lenovo,41598.42
153,Smartphone,Accessories,Dell,42064.18
154,Smartphone,Gadgets,HP,66992.78
155,Tablet,Accessories,Dell,30164.6
156,Headphones,Electronics,Asus,70407.13
157,Camera,Accessories,Apple,4648.22
158,Camera,Gadgets,HP,62556.26
159,Laptop,Electronics,Sony,39960.96
160,Smartphone,Gadgets,HP,18655.09
161,Laptop,Accessories,Apple,23260.97
162,Smartwatch,Gadgets,Lenovo,45704.2
163,Camera,Gadgets,Apple,23869.88
164,Smartphone,Accessories,Samsung,2950.37
165,Camera,Electronics,Apple,53264.48
166,Smartphone,Gadgets,Samsung,65898.97
167,Smartphone,Electronics,Samsung,5316.9
168,Smartwatch,Accessories,Sony,46044.8
169,Tablet,Accessories,Sony,78657.18
170,Camera,Gadgets,Dell,41953.02
171,Headphones,Gadgets,Asus,10845.42
172,Laptop,Accessories,Sony,22496.69
173,Laptop,Accessories,Apple,4304.07
174,Smartwatch,Electronics,Apple,71504.17
175,Speaker,Gadgets,Lenovo,58923.56
176,Tablet,Electronics,Lenovo,78421.17
177,Tablet,Accessories,HP,38490.06
178,Smartwatch,Gadgets,HP,3317.16
179,Camera,Gadgets,HP,54699.79
180,Smartwatch,Accessories,Sony,20755.91
181,Laptop,Electronics,Lenovo,21514.99
182,Smartphone,Accessories,Dell,57972.93
183,Laptop,Electronics,Lenovo,52109.33
184,Smartwatch,Accessories,Samsung,62581.98
185,Headphones,Gadgets,Apple,46425.08
186,Laptop,Electronics,Samsung,57628.47
187,Camera,Electronics,Lenovo,67587.73
188,Speaker,Accessories,Dell,25250.02
189,Speaker,Gadgets,Dell,30133.87
190,Speaker,Electronics,Asus,38476.81
191,Speaker,Accessories,Apple,79914.68
192,Speaker,Accessories,Sony,32840.47
193,Laptop,Accessories,Apple,7405.09
194,Speaker,Electronics,Samsung,8640.63
195,Headphones,Gadgets,Sony,1399.84
196,Headphones,Gadgets,Apple,43269.94
197,Tablet,Electronics,Dell,12253.66
198,Camera,Accessories,Asus,37777.11
199,Camera,Accessories,Sony,7801.66
200,Smartphone,Accessories,Lenovo,18629.31
