order_id,customer_id,product_id,order_date,sales
1001,38,105,2024-03-01,51769.32
1002,80,111,2024-01-31,31264.36
1003,58,141,2024-08-15,70333.6
1004,60,162,2024-11-13,5047.32
1005,78,131,2024-11-23,25746.0
1006,71,170,2024-03-20,77222.99
1007,45,195,2024-01-11,70102.84
1008,60,141,2024-02-23,38146.77
1009,8,179,2024-11-29,77409.08
1010,14,194,2024-10-30,35158.09
1011,47,177,2024-03-27,28782.54
1012,64,125,2024-03-31,26469.14
1013,32,136,2024-03-28,77456.83
1014,100,155,2024-08-18,69002.6
1015,10,170,2024-07-27,73585.19
1016,26,185,2024-06-17,37805.56
1017,7,190,2024-06-13,35189.24
1018,72,148,2024-07-15,79761.72
1019,54,164,2024-06-10,32613.35
1020,45,113,2024-03-30,66968.2
1021,26,154,2024-06-03,22522.27
1022,16,153,2024-05-08,67163.45
1023,64,154,2024-06-01,31061.52
1024,9,147,2024-03-01,19815.21
1025,51,126,2024-06-12,42028.01
1026,38,140,2024-05-26,72550.68
1027,40,141,2024-07-26,10395.16
1028,25,127,2024-01-18,15006.75
1029,22,149,2024-09-28,49571.1
1030,21,193,2024-09-12,60096.61
1031,1,128,2024-01-02,54107.48
1032,50,136,2024-12-10,44332.23
1033,91,146,2024-03-17,55431.53
1034,29,103,2024-07-06,29234.31
1035,46,196,2024-11-02,59962.05
1036,36,141,2024-11-01,57993.47
1037,50,118,2024-12-14,76841.79
1038,70,165,2024-07-20,5430.68
1039,93,116,2024-01-18,50963.78
1040,53,179,2024-03-14,6731.38
1041,17,143,2024-01-26,4840.95
1042,66,196,2024-08-14,6310.38
1043,14,114,2024-05-18,57703.32
1044,62,193,2024-05-16,74052.11
1045,53,107,2024-04-25,50739.5
1046,87,189,2024-12-10,21329.1
1047,45,138,2024-04-11,41526.46
1048,36,146,2024-09-05,20026.23
1049,13,168,2024-07-11,15950.34
1050,76,153,2024-11-02,40059.21
1051,68,164,2024-03-08,45645.12
1052,36,158,2024-11-11,54079.47
1053,25,196,2024-12-16,60480.21
1054,3,152,2024-01-20,28191.06
1055,20,187,2024-07-30,12380.48
1056,42,112,2024-03-14,67675.71
1057,97,114,2024-08-03,29982.1
1058,94,136,2024-02-21,69202.04
1059,55,128,2024-03-14,9354.97
1060,26,116,2024-01-31,3282.59
1061,77,115,2024-12-15,60186.8
1062,8,121,2024-07-18,77215.65
1063,50,177,2024-05-11,28910.96
1064,71,138,2024-06-22,38039.16
1065,24,183,2024-10-22,18209.1
1066,35,133,2024-02-24,26005.83
1067,100,115,2024-12-25,60750.07
1068,22,108,2024-02-19,61480.57
1069,96,114,2024-11-10,63499.19
1070,96,161,2024-11-15,64330.04
1071,95,104,2024-05-24,75506.11
1072,54,158,2024-10-27,69172.4
1073,92,148,2024-02-07,36814.42
1074,45,164,2024-03-30,68075.35
1075,12,158,2024-05-03,63353.72
1076,96,130,2024-01-05,7788.3
1077,90,171,2024-10-15,42558.92
1078,30,103,2024-03-06,50629.49
1079,10,191,2024-03-28,75348.5
1080,87,130,2024-07-10,77825.27
1081,28,177,2024-05-20,25036.25
1082,33,153,2024-04-25,43194.25
1083,58,112,2024-04-20,48219.47
1084,14,189,2024-11-19,75719.18
1085,73,194,2024-04-25,64429.19
1086,90,124,2024-06-14,62263.27
1087,42,136,2024-12-29,57428.99
1088,29,107,2024-06-10,67401.19
1089,30,144,2024-05-13,40503.08
1090,63,177,2024-08-09,71698.26
1091,3,112,2024-02-09,8160.45
1092,15,130,2024-12-10,52726.3
1093,27,153,2024-04-19,23338.78
1094,6,135,2024-09-12,72751.85
1095,27,166,2024-12-18,22966.83
1096,70,134,2024-11-08,35758.12
1097,30,114,2024-03-02,34811.64
1098,87,180,2024-04-19,72816.89
1099,65,129,2024-03-23,4616.24
1100,46,121,2024-12-25,8421.82
